Belief of going from {4,5} to {4,4} is 0.369829955141682  | Action : Left
Belief of going from {1,4} to {2,4} is 0.6667887929423753  | Action : Down
Belief of going from {2,3} to {2,4} is 0.6614150587182759  | Action : Right
Belief of going from {5,4} to {4,4} is 0.32759055269417975  | Action : Up
Belief of going from {1,2} to {2,2} is 0.33415633058986743  | Action : Down
Belief of going from {2,1} to {1,1} is 0.34261931278155294  | Action : Up
Belief of going from {5,2} to {4,2} is 0.3275862103239923  | Action : Up
Belief of going from {4,1} to {5,1} is 0.34218661704433423  | Action : Down
Belief of going from {4,1} to {5,1} is 0.41092944949541294  | Action : Down
Belief of going from {5,2} to {4,2} is 0.35498970454437984  | Action : Up
Belief of going from {2,1} to {1,1} is 0.3221604807184152  | Action : Up
Belief of going from {1,2} to {2,2} is 0.34702809545622654  | Action : Down
Belief of going from {5,4} to {4,4} is 0.3275864685577118  | Action : Up
Belief of going from {2,3} to {2,4} is 0.6576795185225539  | Action : Right
Belief of going from {1,4} to {2,4} is 0.6615899538266642  | Action : Down
Belief of going from {4,5} to {4,4} is 0.32776030210380097  | Action : Left
Belief of going from {3,4} to {2,4} is 0.6580215922514672  | Action : Up
Belief of going from {2,5} to {2,4} is 0.661598137895906  | Action : Left
Belief of going from {3,5} to {3,4} is 0.348055931948091  | Action : Left
Belief of going from {4,4} to {4,5} is 0.34885993454207803  | Action : Right
Belief of going from {5,5} to {5,4} is 0.3435874819636401  | Action : Left
Belief of going from {3,3} to {3,4} is 0.5799119995548493  | Action : Right
Belief of going from {1,5} to {2,5} is 0.3220434260808493  | Action : Down
Belief of going from {5,3} to {5,4} is 0.5799591747178023  | Action : Right
Belief of going from {1,3} to {2,3} is 0.3275862323765991  | Action : Down
Belief of going from {2,2} to {1,2} is 0.34736980703936116  | Action : Up
Belief of going from {4,2} to {5,2} is 0.5807754442649435  | Action : Down
Belief of going from {5,1} to {5,2} is 0.39875071933234346  | Action : Right
Belief of going from {1,1} to {2,1} is 0.32171027106215194  | Action : Down
Belief of going from {1,1} to {2,1} is 0.40428085865173324  | Action : Down
Belief of going from {5,1} to {5,2} is 0.32531939585619724  | Action : Right
Belief of going from {4,2} to {5,2} is 0.5443824422838934  | Action : Down
Belief of going from {2,2} to {1,2} is 0.327272544223538  | Action : Up
Belief of going from {1,3} to {2,3} is 0.34734954306623345  | Action : Down
Belief of going from {5,3} to {5,4} is 0.5796178336637732  | Action : Right
Belief of going from {1,5} to {2,5} is 0.3220640770312202  | Action : Down
Belief of going from {3,3} to {3,4} is 0.5807837355713686  | Action : Right
Belief of going from {5,5} to {5,4} is 0.32165561571397455  | Action : Left
Belief of going from {4,4} to {4,5} is 0.3472914364024045  | Action : Right
Belief of going from {3,5} to {3,4} is 0.35005430222395967  | Action : Left
Belief of going from {2,5} to {2,4} is 0.6608396013418443  | Action : Left
Belief of going from {3,4} to {2,4} is 0.6624856483102296  | Action : Up
Belief of going from {4,5} to {4,4} is 0.369829955141682  | Action : Left
Belief of going from {1,4} to {2,4} is 0.6667887929423753  | Action : Down
Belief of going from {2,3} to {2,4} is 0.6614150587182759  | Action : Right
Belief of going from {5,4} to {4,4} is 0.32759055269417975  | Action : Up
Belief of going from {1,2} to {2,2} is 0.33415633058986743  | Action : Down
Belief of going from {2,1} to {1,1} is 0.34261931278155294  | Action : Up
Belief of going from {5,2} to {4,2} is 0.3275862103239923  | Action : Up
Belief of going from {4,1} to {5,1} is 0.34218661704433423  | Action : Down
Belief of going from {4,1} to {5,1} is 0.41092944949541294  | Action : Down
Belief of going from {5,2} to {4,2} is 0.35498970454437984  | Action : Up
Belief of going from {2,1} to {1,1} is 0.3221604807184152  | Action : Up
Belief of going from {1,2} to {2,2} is 0.34702809545622654  | Action : Down
Belief of going from {5,4} to {4,4} is 0.3275864685577118  | Action : Up
Belief of going from {2,3} to {2,4} is 0.6576795185225539  | Action : Right
Belief of going from {1,4} to {2,4} is 0.6615899538266642  | Action : Down
Belief of going from {4,5} to {4,4} is 0.32776030210380097  | Action : Left
Belief of going from {3,4} to {2,4} is 0.6580215922514672  | Action : Up
Belief of going from {2,5} to {2,4} is 0.661598137895906  | Action : Left
Belief of going from {3,5} to {3,4} is 0.348055931948091  | Action : Left
Belief of going from {4,4} to {4,5} is 0.34885993454207803  | Action : Right
Belief of going from {5,5} to {5,4} is 0.3435874819636401  | Action : Left
Belief of going from {3,3} to {3,4} is 0.5799119995548493  | Action : Right
Belief of going from {1,5} to {2,5} is 0.3220434260808493  | Action : Down
Belief of going from {5,3} to {5,4} is 0.5799591747178023  | Action : Right
Belief of going from {1,3} to {2,3} is 0.3275862323765991  | Action : Down
Belief of going from {2,2} to {1,2} is 0.34736980703936116  | Action : Up
Belief of going from {4,2} to {5,2} is 0.5807754442649435  | Action : Down
Belief of going from {5,1} to {5,2} is 0.39875071933234346  | Action : Right
Belief of going from {1,1} to {2,1} is 0.32171027106215194  | Action : Down
Belief of going from {1,1} to {2,1} is 0.40428085865173324  | Action : Down
Belief of going from {5,1} to {5,2} is 0.32531939585619724  | Action : Right
Belief of going from {4,2} to {5,2} is 0.5443824422838934  | Action : Down
Belief of going from {2,2} to {1,2} is 0.327272544223538  | Action : Up
Belief of going from {1,3} to {2,3} is 0.34734954306623345  | Action : Down
Belief of going from {5,3} to {5,4} is 0.5796178336637732  | Action : Right
Belief of going from {1,5} to {2,5} is 0.3220640770312202  | Action : Down
Belief of going from {3,3} to {3,4} is 0.5807837355713686  | Action : Right
Belief of going from {5,5} to {5,4} is 0.32165561571397455  | Action : Left
Belief of going from {4,4} to {4,5} is 0.3472914364024045  | Action : Right
Belief of going from {3,5} to {3,4} is 0.35005430222395967  | Action : Left
Belief of going from {2,5} to {2,4} is 0.6608396013418443  | Action : Left
Belief of going from {3,4} to {2,4} is 0.6624856483102296  | Action : Up
Belief of going from {4,5} to {4,4} is 0.369829955141682  | Action : Left
Belief of going from {1,4} to {2,4} is 0.6667887929423753  | Action : Down
Belief of going from {2,3} to {2,4} is 0.6614150587182759  | Action : Right
Belief of going from {5,4} to {4,4} is 0.32759055269417975  | Action : Up
Belief of going from {1,2} to {2,2} is 0.33415633058986743  | Action : Down
Belief of going from {2,1} to {1,1} is 0.34261931278155294  | Action : Up
Belief of going from {5,2} to {4,2} is 0.3275862103239923  | Action : Up
Belief of going from {4,1} to {5,1} is 0.34218661704433423  | Action : Down
Belief of going from {4,1} to {5,1} is 0.41092944949541294  | Action : Down
Belief of going from {5,2} to {4,2} is 0.35498970454437984  | Action : Up
Belief of going from {2,1} to {1,1} is 0.3221604807184152  | Action : Up
Belief of going from {1,2} to {2,2} is 0.34702809545622654  | Action : Down
Belief of going from {5,4} to {4,4} is 0.3275864685577118  | Action : Up
Belief of going from {2,3} to {2,4} is 0.6576795185225539  | Action : Right
Belief of going from {1,4} to {2,4} is 0.6615899538266642  | Action : Down
Belief of going from {4,5} to {4,4} is 0.32776030210380097  | Action : Left
Belief of going from {3,4} to {2,4} is 0.6580215922514672  | Action : Up
Belief of going from {2,5} to {2,4} is 0.661598137895906  | Action : Left
Belief of going from {3,5} to {3,4} is 0.348055931948091  | Action : Left
Belief of going from {4,4} to {4,5} is 0.34885993454207803  | Action : Right
Belief of going from {5,5} to {5,4} is 0.3435874819636401  | Action : Left
Belief of going from {3,3} to {3,4} is 0.5799119995548493  | Action : Right
Belief of going from {1,5} to {2,5} is 0.3220434260808493  | Action : Down
Belief of going from {5,3} to {5,4} is 0.5799591747178023  | Action : Right
Belief of going from {1,3} to {2,3} is 0.3275862323765991  | Action : Down
Belief of going from {2,2} to {1,2} is 0.34736980703936116  | Action : Up
Belief of going from {4,2} to {5,2} is 0.5807754442649435  | Action : Down
Belief of going from {5,1} to {5,2} is 0.39875071933234346  | Action : Right
Belief of going from {1,1} to {2,1} is 0.32171027106215194  | Action : Down
Belief of going from {1,1} to {2,1} is 0.40428085865173324  | Action : Down
Belief of going from {5,1} to {5,2} is 0.32531939585619724  | Action : Right
Belief of going from {4,2} to {5,2} is 0.5443824422838934  | Action : Down
Belief of going from {2,2} to {1,2} is 0.327272544223538  | Action : Up
Belief of going from {1,3} to {2,3} is 0.34734954306623345  | Action : Down
Belief of going from {5,3} to {5,4} is 0.5796178336637732  | Action : Right
Belief of going from {1,5} to {2,5} is 0.3220640770312202  | Action : Down
Belief of going from {3,3} to {3,4} is 0.5807837355713686  | Action : Right
Belief of going from {5,5} to {5,4} is 0.32165561571397455  | Action : Left
Belief of going from {4,4} to {4,5} is 0.3472914364024045  | Action : Right
Belief of going from {3,5} to {3,4} is 0.35005430222395967  | Action : Left
Belief of going from {2,5} to {2,4} is 0.6608396013418443  | Action : Left
Belief of going from {3,4} to {2,4} is 0.6624856483102296  | Action : Up
Belief of going from {4,5} to {4,4} is 0.369829955141682  | Action : Left
Belief of going from {1,4} to {2,4} is 0.6667887929423753  | Action : Down
Belief of going from {2,3} to {2,4} is 0.6614150587182759  | Action : Right
Belief of going from {5,4} to {4,4} is 0.32759055269417975  | Action : Up
Belief of going from {1,2} to {2,2} is 0.33415633058986743  | Action : Down
Belief of going from {2,1} to {1,1} is 0.34261931278155294  | Action : Up
Belief of going from {5,2} to {4,2} is 0.3275862103239923  | Action : Up
Belief of going from {4,1} to {5,1} is 0.34218661704433423  | Action : Down
Belief of going from {4,1} to {5,1} is 0.41092944949541294  | Action : Down
Belief of going from {5,2} to {4,2} is 0.35498970454437984  | Action : Up
Belief of going from {2,1} to {1,1} is 0.3221604807184152  | Action : Up
Belief of going from {1,2} to {2,2} is 0.34702809545622654  | Action : Down
Belief of going from {5,4} to {4,4} is 0.3275864685577118  | Action : Up
Belief of going from {2,3} to {2,4} is 0.6576795185225539  | Action : Right
Belief of going from {1,4} to {2,4} is 0.6615899538266642  | Action : Down
Belief of going from {4,5} to {4,4} is 0.32776030210380097  | Action : Left
Belief of going from {3,4} to {2,4} is 0.6580215922514672  | Action : Up
Belief of going from {2,5} to {2,4} is 0.661598137895906  | Action : Left
Belief of going from {3,5} to {3,4} is 0.348055931948091  | Action : Left
Belief of going from {4,4} to {4,5} is 0.34885993454207803  | Action : Right
Belief of going from {5,5} to {5,4} is 0.3435874819636401  | Action : Left
Belief of going from {3,3} to {3,4} is 0.5799119995548493  | Action : Right
Belief of going from {1,5} to {2,5} is 0.3220434260808493  | Action : Down
Belief of going from {5,3} to {5,4} is 0.5799591747178023  | Action : Right
Belief of going from {1,3} to {2,3} is 0.3275862323765991  | Action : Down
Belief of going from {2,2} to {1,2} is 0.34736980703936116  | Action : Up
Belief of going from {4,2} to {5,2} is 0.5807754442649435  | Action : Down
Belief of going from {5,1} to {5,2} is 0.39875071933234346  | Action : Right
Belief of going from {1,1} to {2,1} is 0.32171027106215194  | Action : Down
Belief of going from {1,1} to {2,1} is 0.40428085865173324  | Action : Down
Belief of going from {5,1} to {5,2} is 0.32531939585619724  | Action : Right
Belief of going from {4,2} to {5,2} is 0.5443824422838934  | Action : Down
Belief of going from {2,2} to {1,2} is 0.327272544223538  | Action : Up
Belief of going from {1,3} to {2,3} is 0.34734954306623345  | Action : Down
Belief of going from {5,3} to {5,4} is 0.5796178336637732  | Action : Right
Belief of going from {1,5} to {2,5} is 0.3220640770312202  | Action : Down
Belief of going from {3,3} to {3,4} is 0.5807837355713686  | Action : Right
Belief of going from {5,5} to {5,4} is 0.32165561571397455  | Action : Left
Belief of going from {4,4} to {4,5} is 0.3472914364024045  | Action : Right
